epoch,train_loss,train_acc,val_loss,val_acc
1,1.9345578877131144,0.5837037037037037,1.56194487657514,0.671280276816609
2,0.8071485680120962,0.8911111111111111,0.5449445798322816,0.9342560553633218
3,0.4782063858597367,0.9311111111111111,0.3715240041689889,0.9584775086505191
4,0.3415563945417051,0.9540740740740741,0.27635867940100833,0.9688581314878892
5,0.2647308875454797,0.9562962962962963,0.2334892647179765,0.9688581314878892
6,0.20273650725682577,0.9762962962962963,0.1888396424405715,0.972318339100346
7,0.16642745631712455,0.9785185185185186,0.1559564548586479,0.9688581314878892
8,0.14010993984010484,0.9807407407407407,0.15176051019797276,0.9757785467128027
9,0.11140968088750486,0.9903703703703703,0.12862007500391107,0.9757785467128027
10,0.09324218032536684,0.9925925925925926,0.13054689141087053,0.9757785467128027
11,0.08428411609596677,0.9911111111111112,0.10978814461961336,0.9792387543252595
12,0.07395011495660853,0.9955555555555555,0.1031299468813058,0.9757785467128027
13,0.07678689647603917,0.9918518518518519,0.10368091757425388,0.9757785467128027
14,0.059270565667086175,0.997037037037037,0.09344459282537233,0.9757785467128027
15,0.05149925536579556,0.997037037037037,0.09042356426224989,0.9757785467128027
16,0.052922155459721884,0.9962962962962963,0.0840982358167947,0.9792387543252595
17,0.048132480802359406,0.9977777777777778,0.08573382864722331,0.9792387543252595
18,0.04251048191829964,0.997037037037037,0.08801956186038813,0.972318339100346
19,0.038407831418293494,0.9977777777777778,0.08170858913690986,0.9792387543252595
20,0.036957520654907934,0.9962962962962963,0.08080456242816052,0.9757785467128027
21,0.04337556037637923,0.9955555555555555,0.08594890854041057,0.9792387543252595
22,0.032046227888376626,0.9985185185185185,0.06945260241627693,0.9826989619377162
23,0.03281561292983867,0.9977777777777778,0.07611523091045425,0.9826989619377162
24,0.02869544315117377,0.9985185185185185,0.07363065967664999,0.9826989619377162
25,0.02509743368184125,0.9985185185185185,0.06993348203651015,0.986159169550173
26,0.0270724195683444,0.997037037037037,0.07020234343012517,0.9792387543252595
27,0.028701007001929815,0.9985185185185185,0.07025172180499378,0.9792387543252595
28,0.02828243229124281,0.9977777777777778,0.07584305789489235,0.9757785467128027
